Gender,Major,Minor,Ethnic,Orientation,MotherEdu,FatherEdu,Year,International,Country,Transfer,EFL,FirstGen,STEM,GPA,HighGPA,SameEthnic,OtherEthnic,Q2.1,Q2.2,Q2.3,Q2.4,Q2.5,Q3.1,Q3.2,Q3.3,Q3.4,Q3.5,Q3.6,Q3.7,Q3.8,Q3.9,Q3.10,Q3.11,Q3.12,Q3.13,Q3.14,Q3.15,Q3.16,Q3.17,Q3.18,Q3.19,Q3.20,Q3.21,Q3.22,Q3.23,Q3.24,HelpFactor,InhibitFactor,FamilyValue,Academic,SES,Belonging,Stress,Exclusion
Male,Statistics,,Asian,Heterosexual,High school or less,Two-year College,Senior,Yes,China,Yes,No,No,Yes,3.5,4,10,5,Often,Sometimes,Always,Sometimes,Sometimes,Strongly Agree,Agree,Not Sure,Not Sure,Strongly Disagree,Strongly Disagree,Not Sure,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Definitely parental support. Without them it'd be possible.,Definitely parental support. Without them it'd be possible.,High Value,90.6,16.7,86.1,0,25
Female,Statistics,,biracial,Heterosexual,Graduate or Professional Degree,,Senior,No,,No,Yes,No,Yes,3.3,3,3,20,Sometimes,Rarely,Always,Always,Sometimes,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Not Sure,Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Not Sure,,Strongly Agree,Agree,Disagree,Strongly Agree,Having a support group in my friends has helped me immensely. ,"Sometimes when I go to office hours, I'm scared to explain what I don't know to my professor in fear of being mocked or shamed for being behind. Thus, when I feel I am starting to get behind, it's just exponential because I'm too afraid to ask. Some professors I have had are impossible to keep up with and if you can't, they make you feel like you're too dumb to be in the major. I got a C in a lower division math pre-req for the Stats major(I had already taken a few upper division Stat classes averaging B grades) and I sought the Stats Academic counselor Lori. She told me that Statistics might not be the best major for me and told me to ""consider"" and easier major that had less math. I didn't-I'm graduating in Spring with at Stats degree.",NA,43.8,100,61.1,56.3,58.3
Female,Statistics,,Asian,Heterosexual,Graduate or Professional Degree,Graduate or Professional Degree,Junior,No,,No,Yes,No,Yes,3.99,4.3,10,20,Sometimes,Sometimes,Always,Rarely,Sometimes,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Not Sure,Disagree,Not Sure,Disagree,Strongly Agree,Agree,Disagree,Not Sure,Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"I think my primary education played a huge role in my success academically at UCLA. I come from a very wealthy, predominantly white school in Michigan, and it was one of the best public schools in the state. Thus, the teachers were really great due to how much money our school district had. My school offered many AP courses, so I was able to take many difficult and challenging classes that pushed me to improve my critical thinking skills, studying habits, and more. I honestly feel as though my high school was much harder than college, as I had hours and hours of homework every night, and I studied way more in high school.","Although transitioning from high school to college was a breeze in terms of academics, I had a much harder time developing a social life at UCLA. My entire first quarter my freshman year, I had no friends and was very homesick and depressed. I actually wanted to drop out of UCLA and move back home, and I felt like I made a horrible decision in going to what I thought was my ""dream school."" I feel as though it was because the town I was from in Michigan was very small, and everyone from my high school had their own small ""bubble"" that we stayed in for all K-12 years of schooling. I went to school with the same exact people for 13 years, so it was really hard for me to move away from this tight-knit community to an institution that is 10x the size. Eventually, though, I made more friends in one of the clubs I had been in since my first month of college, and from that, I was able to develop more social skills and pushed myself to make more friends in classes and other clubs.",Average Value,65.6,16.7,75,62.5,33.3
Female,Statistics,,Asian,Heterosexual,Four-year College,Four-year College,Senior,Yes,China,No,No,No,Yes,3.89,4,20,3,Often,Sometimes,Always,Sometimes,Sometimes,Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Agree,Not Sure,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Not Sure,Not Sure,Not Sure,To be not procrastinate is really important in finishing tasks no matter academically or socially.,procrastination sometimes inhibits my success and ruins my emotions,Average Value,53.1,25,47.2,50,58.3
Female,"Applied Math, Stats",,Asian,Bisexual,Four-year College,Four-year College,Senior,Yes,China,No,No,No,Yes,3.8,4.3,10,5,Sometimes,Often,Always,Never,Rarely,Strongly Agree,Agree,Disagree,Not Sure,Not Sure,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Not Sure,Agree,Not Sure,Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Not Sure,Agree,"Love and support from family, friendships, guidance and mentorship from older people, relationships, hard work/own diligence, ","1. Many UCLA Clubs and Greek Life (especially professional clubs) exclude most International students. If your English is not native and they can detect an accent, or if you don't look white washed enough, they would not want to include you in their club/organization. 
2. Departmental mentorship is not strong enough. I wish professors in my major could let me know more about possible career options for our major when I was a freshman/sophomore so I have more time to prepare for it.",High Value,37.5,66.7,52.8,75,41.7
Male,Statistics,,Asian,Heterosexual,Two-year College,Graduate or Professional Degree,Senior,No,,No,Yes,No,Yes,3.7,4,15,10,Sometimes,Rarely,Always,Always,Never,Strongly Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Not Sure,Disagree,Disagree,Strongly Disagree,Not Sure,Not Sure,Not Sure,Strongly Agree,Strongly Disagree,Agree,Agree,Not Sure,Not Sure,Strongly Agree,Agree,Agree,Not Sure,"Finding the right friend group that I vibed with changed my life at UCLA. It made me feel welcome at the school, and it had a significant impact on me academically and socially. ",Professors who have a difficult time communicating/giving lectures. ,Average Value,62.5,33.3,63.9,31.3,50
Male,Statistics,N/A,Asian,Heterosexual,Four-year College,Graduate or Professional Degree,Senior,Yes,China,No,No,No,Yes,3.86,4.13,20,6,Often,Rarely,Always,Often,Sometimes,Agree,Agree,Not Sure,Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Not Sure,Disagree,Disagree,Not Sure,Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,Average Value,71.9,8.3,75,43.8,16.7
Female,Statistics,,Asian,Heterosexual,Four-year College,Graduate or Professional Degree,Sophomore,Yes,China,No,No,No,Yes,3.8,4,30,5,Always,Rarely,Often,Often,Often,Disagree,Agree,Agree,Not Sure,Not Sure,Disagree,Disagree,Not Sure,Disagree,Not Sure,Not Sure,Not Sure,Disagree,Not Sure,Not Sure,Disagree,Not Sure,Not Sure,Disagree,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Hardwork,Challenges,Low Value,53.1,41.7,52.8,56.3,41.7
Female,sociology,,Calcasian,Bisexual,Graduate or Professional Degree,Four-year College,Senior,No,,No,Yes,No,No,3.4,4,1,7,Always,Rarely,Always,Sometimes,Rarely,Strongly Agree,Not Sure,Disagree,Agree,Disagree,Not Sure,Strongly Disagree,Disagree,Disagree,Agree,Not Sure,Strongly Agree,Not Sure,Not Sure,Agree,Disagree,Disagree,Strongly Disagree,Not Sure,Not Sure,Strongly Agree,Agree,Not Sure,Agree,Spending time with friends and doing activities I enjoy have helped the most.,Personal changes inhibited me at times.,Average Value,56.3,50,66.7,68.8,16.7
Male,Sociology,,Asian,Heterosexual,High school or less,Two-year College,Senior,No,,Yes,Yes,Yes,No,3.2,4.3,10,5,Rarely,Sometimes,Always,Always,Sometimes,Not Sure,Strongly Disagree,Not Sure,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Not Sure,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Not Sure,Agree,Agree,Strongly Agree,Agree,Not Sure,Not Sure,My parent?s teachings were a big reason why i succeeded.,My unwillingness to get out of my comfort or lazy zone,Average Value,21.9,83.3,58.3,87.5,33.3
Female,cognitive science,statistics,Asian,Heterosexual,Four-year College,Four-year College,Senior,Yes,China,No,No,No,Yes,3.907,4,30,10,Often,Sometimes,Always,Sometimes,Sometimes,Strongly Agree,Strongly Agree,Disagree,Agree,Not Sure,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Not Sure,Disagree,Strongly Agree,Agree,Disagree,Strongly Disagree,Not Sure,Agree,Strongly Agree,Strongly Agree,Agree,Not Sure,Strongly Agree,Great friends and strong friendships.,"Struggling with pressure from different aspects, e.g., financially, expectation from family, etc.",High Value,50,75,80.6,56.3,25
Male,Statistics,,Asian,Heterosexual,Two-year College,High school or less,Senior,Yes,China,No,No,Yes,Yes,3.84,3.97,10,2,Sometimes,Rarely,Always,Sometimes,Sometimes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Not Sure,Strongly Disagree,Disagree,Disagree,Not Sure,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Courses and friends,career service,Average Value,90.6,8.3,66.7,25,41.7
Male,Sociology,Geography/Environmental Science,Calcasian,Heterosexual,Graduate or Professional Degree,Four-year College,Senior,No,,Yes,No,No,No,3.7,4.3,3,10,Often,Never,Always,Always,Sometimes,Agree,Disagree,Not Sure,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Not Sure,Not Sure,Disagree,Not Sure,Strongly Agree,Not Sure,Agree,Agree,"Supportive family and friends are the biggest factor. Switching out of a STEM major also significantly improved my quality of life. These majors, especially at UCLA, prevent students from having any sort of life outside of university. ","As a student who initially entered the university system expecting to graduate in a STEM field, I found many of the ?introductory courses? (such as biology & chemistry) to be especially difficult. These ?weeder? classes are usually a student?s first impression of their major and often lead to many freshman switching majors. I experienced, first hand, that these classes are not only difficult but they actually discourage students from continuing in the STEM field. It is completely standardized and curved against the average student and for that reason many people are unable to succeed. Even though I passed my science classes at UCLA with an A, it came at a cost. 
",Average Value,62.5,16.7,44.4,62.5,58.3
Female,Statistics,,Asian,Heterosexual,High school or less,High school or less,Senior,No,,No,Yes,Yes,Yes,3.378,3.94,NA,NA,Sometimes,Sometimes,Always,Often,Sometimes,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Not Sure,Disagree,Not Sure,Disagree,Strongly Agree,Disagree,Not Sure,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Not Sure,Agree,Agree,Strongly Agree,Agree,Agree,Not Sure,"Growing up in a family that emphasized education and academic success instilled in me a drive to achieve. In addition, I was frequently surrounded my friends who shared the same mindset, which allowed us to mutually support and relate to each other's experiences. I was able to carry this with me to UCLA, which allowed me to succeed at the university.","While I have always had a strong desire to achieve, the immense amount of pressure I put on myself has made it more difficult to see my experience as ""successful."" Since my family and I place such high expectations on my performance, I struggle to balance my various obligations, consequently affected my social and emotional success.",High Value,68.8,33.3,72.2,50,16.7
Female,International Development Studies,,Asian,Heterosexual,Four-year College,Four-year College,Senior,No,,No,Yes,No,No,3.3,3.9,10,2,Often,Never,Often,Sometimes,Often,Agree,Not Sure,Not Sure,Agree,Agree,Agree,Not Sure,Not Sure,Disagree,Not Sure,Not Sure,Not Sure,Not Sure,Strongly Agree,Not Sure,Disagree,Disagree,Not Sure,Agree,Agree,Agree,Agree,Agree,Agree,The factors that helped me where being able to join a Christian group and spend time deepening my faith. ,,Average Value,62.5,75,63.9,50,33.3
Female,Statistics,No,Asian,Heterosexual,Two-year College,Two-year College,Senior,No,,Yes,No,Yes,Yes,3.3,3.6,10,10,Often,Rarely,Always,Always,Always,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Nice Professors, Good Counseling of Health",I cannot think of any,Low Value,65.6,83.3,61.1,43.8,50
Male,Applied Math,Statistics,Calcasian,Heterosexual,Four-year College,Two-year College,Senior,No,,No,Yes,No,Yes,3.189,4.8667,100,50,Often,Sometimes,Often,Sometimes,Rarely,Strongly Agree,Agree,Not Sure,Agree,Not Sure,Strongly Agree,Not Sure,Strongly Agree,Strongly Agree,Strongly Agree,Not Sure,Strongly Agree,Not Sure,Not Sure,Disagree,Not Sure,Agree,Not Sure,Not Sure,Agree,Agree,Agree,Agree,Agree,"Having driven fraternity brothers that care about their school-work and future career definitely helps to motivate me. Older brothers have given me advice on classes to take over the years, and I think it has helped me to avoid some but not all undesirable professor experiences. ","Romantic turmoil has negatively impacted my academic, social, and emotional success at UCLA. Lack of personalized advising at such a large public school has been challenging academically. Not being as wealthy as some of my friends has forced me to miss out on some social experiences throughout college.",Average Value,34.4,75,47.2,75,58.3
Male,Statistics,none,Asian,Heterosexual,Four-year College,Graduate or Professional Degree,Senior,Yes,"Korea, South",Yes,No,No,Yes,2.3,4,100,5,Sometimes,Rarely,Always,Often,Often,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,professors assist,financial aid,Low Value,50,75,41.7,62.5,75
Female,math,,Asian,Heterosexual,Graduate or Professional Degree,Graduate or Professional Degree,Senior,Yes,China,No,No,No,Yes,3.55,3.86,30,5,Sometimes,Sometimes,Always,Sometimes,Sometimes,Not Sure,Not Sure,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Not Sure,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Not Sure,Not Sure,A lot of friends better than me,Sometimes don't know where to go for support ,Average Value,62.5,0,94.4,25,0
Male,Mathematics/Economics,,Latino/Hispanic,Heterosexual,High school or less,High school or less,Junior,No,,Yes,Yes,Yes,Yes,NA,2.6,5,10,Often,Never,Always,Sometimes,Sometimes,Not Sure,Disagree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,"The most important factor that has contributed to my overall success so far is how I was raised. My parents deserve most of the credit. I am convinced that both my parents distilled a good sense of morality in me. Although I was spoiled, my parents made it a priority to discipline me. ","I grew up in an area with a low diversity index. Before attending UCLA, I guess it is safe to say that I was close minded. I had minimum perspective and did not consider the value of getting to know people of other ethnic and cultural backgrounds.",Low Value,62.5,58.3,58.3,37.5,83.3
Female,Statistics,,Asian,I prefer not to say,Two-year College,Four-year College,Senior,Yes,china,Yes,No,No,Yes,3,3.9,8,2,Rarely,Rarely,Always,Sometimes,Often,Not Sure,Not Sure,Not Sure,Disagree,Disagree,Disagree,Not Sure,Agree,Strongly Agree,Not Sure,Disagree,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,the willing to live a better life,I'm passionable about life and study,Low Value,40.6,25,52.8,43.8,50
Male,math/econ,statistics,Asian,Heterosexual,High school or less,Four-year College,Junior,Yes,CHINA,Yes,No,No,Yes,1.6,3.9,12,1,Rarely,Never,Always,Always,Always,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"One of the factors that helped me succeed academically at UCLA is keeping going to my belief. My goal is going to study graduate school at UCLA successfully, but my grade is not good right now. However, my professor shares me some good suggestion and I got much more confidence and make a summary for me to fix my mistake. I think that is the most important point that helps me succeed at UCLA in the future.","I think the factors that have inhibited my success academically at UCLA is my studying style. The reason is that I usually study a new thing by using inflexible thinking. Also, I don't think very deeply about questions when I was studying and I think there is an issue to inhibited my success academically at UCLA ",Average Value,65.6,91.7,58.3,50,33.3
Male,Financial Actuarial Mathematics,,Asian,Heterosexual,Two-year College,Graduate or Professional Degree,Senior,Yes,CHINA,Yes,No,No,Yes,3.7,3.8,50,10,Often,Never,Always,Always,Sometimes,Agree,Not Sure,Agree,Disagree,Strongly Disagree,Disagree,Disagree,Not Sure,Not Sure,Not Sure,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Not Sure,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Classmates always share their ideas with me, and they always help me to solve the assignment problem.  For some group assignments, my group members always took an active part in finishing the assignments.mates",,Low Value,65.6,16.7,80.6,31.3,33.3
Female,Sociology ,,Latino/Hispanic,Heterosexual,High school or less,High school or less,Senior,No,,No,Yes,Yes,No,2.3,3.7,2,5,Sometimes,Sometimes,Always,Rarely,Rarely,Strongly Agree,Agree,Not Sure,Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Not Sure,Agree,Agree,Not Sure,Agree,Not Sure,Not Sure,Agree,Agree,Strongly Agree,Agree,Not Sure,Strongly Agree,"What helped me succeed academically was the writing center and office hours. Socially, my friends that I made in the dorms.",Something that inhibited my success at UCLA was the work load that did not let me go out and socialize. Also I was unaware of the resources available on campus or the events taking place on campus because I did not receive any notifications regarding that. ,Average Value,46.9,83.3,66.7,43.8,58.3
Male,Sociology,Entrepreneurship,Asian,Heterosexual,Graduate or Professional Degree,Four-year College,Senior,No,N/A,Yes,Yes,No,No,3.81,3.85,50,30,Sometimes,Rarely,Always,Often,Rarely,Agree,Not Sure,Disagree,Not Sure,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Not Sure,Not Sure,Not Sure,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Not Sure,"Being involved in Grace on Campus (Christian Club), praying, and my support system.",Difficulties of being a transfer student.,Average Value,53.1,50,58.3,62.5,41.7
Male,Statistics,N/A,Asian,Heterosexual,High school or less,High school or less,Senior,No,N/A,No,Yes,Yes,Yes,2.8,4,25,64,Rarely,Rarely,Always,Sometimes,Often,Agree,Disagree,Not Sure,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"When I was struggling trying to get accustomed to UCLA, I decided that have more friends from different backgrounds (both ethnicity and location i.e. from China, from Africa, etc.) would benefit me. Some of these people brought new knowledge that I haven't thought about before. They taught me how they can use different studying tactics, understanding the material by looking at it a certain way, and more.",I would say nothing but myself has caused me to inhibit my success here at UCLA. I have no one to blame but myself for my own failures.,Average Value,84.4,100,94.4,0,8.3
