Gender,Major,Minor,Ethnic,Orientation,MotherEdu,FatherEdu,Year,International,Country,Transfer,EFL,FirstGen,STEM,GPA,HighGPA,SameEthnic,OtherEthnic,Q2.1,Q2.2,Q2.3,Q2.4,Q2.5,Q3.1,Q3.2,Q3.3,Q3.4,Q3.5,Q3.6,Q3.7,Q3.8,Q3.9,Q3.10,Q3.11,Q3.12,Q3.13,Q3.14,Q3.15,Q3.16,Q3.17,Q3.18,Q3.19,Q3.20,Q3.21,Q3.22,Q3.23,Q3.24,HelpFactor,InhibitFactor,FamilyValue,Academic,SES,Belonging,Stress,Exclusion
Male,Statistics,,Asian,Heterosexual,Two-year College,Graduate or Professional Degree,Senior,No,,No,Yes,No,Yes,3.7,4,15,10,Sometimes,Rarely,Always,Always,Never,Strongly Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Not Sure,Disagree,Disagree,Strongly Disagree,Not Sure,Not Sure,Not Sure,Strongly Agree,Strongly Disagree,Agree,Agree,Not Sure,Not Sure,Strongly Agree,Agree,Agree,Not Sure,"Finding the right friend group that I vibed with changed my life at UCLA. It made me feel welcome at the school, and it had a significant impact on me academically and socially. ",Professors who have a difficult time communicating/giving lectures.,Average Value,62.5,33.3,63.9,31.3,50
Male,Statistics,N/A,Asian,Heterosexual,Four-year College,Graduate or Professional Degree,Senior,Yes,China,No,No,No,Yes,3.86,4.13,20,6,Often,Rarely,Always,Often,Sometimes,Agree,Agree,Not Sure,Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Not Sure,Disagree,Disagree,Not Sure,Disagree,Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,Average Value,71.9,8.3,75,43.8,16.7
Female,Stats,,Asian,Heterosexual,Four-year College,Graduate or Professional Degree,Sophomore,Yes,China,No,No,No,Yes,3.8,4,30,5,Always,Rarely,Often,Often,Often,Disagree,Agree,Agree,Not Sure,Not Sure,Disagree,Disagree,Not Sure,Disagree,Not Sure,Not Sure,Not Sure,Disagree,Not Sure,Not Sure,Disagree,Not Sure,Not Sure,Disagree,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Hardwork,Challenges,Low Value,53.1,41.7,52.8,56.3,41.7
Male,Statistics,,Asian,Heterosexual,Two-year College,High school or less,Senior,Yes,China,No,No,Yes,Yes,3.84,3.97,10,2,Sometimes,Rarely,Always,Sometimes,Sometimes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Not Sure,Strongly Disagree,Disagree,Disagree,Not Sure,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Courses and friends,career service,Average Value,90.6,8.3,66.7,25,41.7
Female,Statistics,,Asian,Heterosexual,High school or less,High school or less,Senior,No,,No,Yes,Yes,Yes,3.378,3.94,NA,NA,Sometimes,Sometimes,Always,Often,Sometimes,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Not Sure,Disagree,Not Sure,Disagree,Strongly Agree,Disagree,Not Sure,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Not Sure,Agree,Agree,Strongly Agree,Agree,Agree,Not Sure,"Growing up in a family that emphasized education and academic success instilled in me a drive to achieve. In addition, I was frequently surrounded my friends who shared the same mindset, which allowed us to mutually support and relate to each other's experiences. I was able to carry this with me to UCLA, which allowed me to succeed at the university.","While I have always had a strong desire to achieve, the immense amount of pressure I put on myself has made it more difficult to see my experience as ""successful."" Since my family and I place such high expectations on my performance, I struggle to balance my various obligations, consequently affected my social and emotional success.",High Value,68.8,33.3,72.2,50,16.7
Female,Statistics,No,Asian,Heterosexual,Two-year College,Two-year College,Senior,No,,Yes,No,Yes,Yes,3.3,3.6,10,10,Often,Rarely,Always,Always,Always,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Nice Professors, Good Counseling of Health",I cannot think of any,Low Value,65.6,83.3,61.1,43.8,50
Male,Statistics,none,Asian,Heterosexual,Four-year College,Graduate or Professional Degree,Senior,Yes,"Korea, South",Yes,No,No,Yes,2.3,4,100,5,Sometimes,Rarely,Always,Often,Often,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,professors assist,financial aid,Low Value,50,75,41.7,62.5,75
Female,statistics,,Asian,I prefer not to say,Two-year College,Four-year College,Senior,Yes,china,Yes,No,No,Yes,3,3.9,8,2,Rarely,Rarely,Always,Sometimes,Often,Not Sure,Not Sure,Not Sure,Disagree,Disagree,Disagree,Not Sure,Agree,Strongly Agree,Not Sure,Disagree,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,the willing to live a better life,I'm passionable about life and study,Low Value,40.6,25,52.8,43.8,50
Male,Statistics,N/A,Asian,Heterosexual,High school or less,High school or less,Senior,No,N/A,No,Yes,Yes,Yes,2.8,4,25,64,Rarely,Rarely,Always,Sometimes,Often,Agree,Disagree,Not Sure,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"When I was struggling trying to get accustomed to UCLA, I decided that have more friends from different backgrounds (both ethnicity and location i.e. from China, from Africa, etc.) would benefit me. Some of these people brought new knowledge that I haven't thought about before. They taught me how they can use different studying tactics, understanding the material by looking at it a certain way, and more.",I would say nothing but myself has caused me to inhibit my success here at UCLA. I have no one to blame but myself for my own failures.,Average Value,84.4,100,94.4,0,8.3
Male,Statistics,,Asian,Heterosexual,Two-year College,Two-year College,Senior,Yes,China,No,No,No,Yes,4,3.93,10,2,Sometimes,Rarely,Always,Never,Often,Agree,Strongly Agree,Disagree,Not Sure,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Not Sure,Agree,Strongly Agree,Agree,Strongly Agree,Agree,,,Average Value,84.4,25,75,18.8,25
Male,Statistics,none,Asian,Heterosexual,Four-year College,Graduate or Professional Degree,Junior,No,,No,No,No,Yes,3.1,4.3,20,10,Sometimes,Rarely,Always,Always,Sometimes,Agree,Disagree,Not Sure,Agree,Disagree,Agree,Strongly Disagree,Agree,Not Sure,Disagree,Strongly Disagree,Disagree,Agree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,"Joining a Christian fellowship on campus has provided me with lots of opportunities to grow and learn, as well as lots of resources",High school did not prepare me well enough academically,Average Value,53.1,58.3,80.6,18.8,33.3
Male,Stat,math,Asian,Heterosexual,High school or less,High school or less,Senior,Yes,china,Yes,No,Yes,Yes,3.3,3.8,10,3,Sometimes,Rarely,Often,Sometimes,Rarely,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Not Sure,Not Sure,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,"one thing that help me is definitely the AAP program and consoler, they help me in my path academically and emotionally, such as when I fail the class two times and don't know what to do(since some of the class is only allow us to repeat two time), I went to talk to them and they will give me advices and also direction of what I should do next. And socially, I join some the fraternity and club in campus in order to wider my circle. ",Procrastination,Low Value,46.9,75,47.2,75,66.7
Male,stat,math,Asian,Heterosexual,High school or less,High school or less,Senior,Yes,china,Yes,No,Yes,Yes,3.3,3.8,10,3,Rarely,Rarely,Often,Sometimes,Rarely,Agree,Agree,Not Sure,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Not Sure,Agree,Agree,Not Sure,Not Sure,Agree,Agree,Agree,Agree,Not Sure,Agree,Agree,counselor and app program helps a lot,Procrastination,Average Value,43.8,75,44.4,87.5,58.3
Female,Statistics,Global Health,Asian,Heterosexual,Four-year College,Four-year College,Junior,No,,No,Yes,No,Yes,3.312,4.56,5,20,Rarely,Rarely,Always,Sometimes,Rarely,Strongly Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Not Sure,Not Sure,Strongly Agree,Strongly Disagree,Not Sure,Disagree,Not Sure,Not Sure,Agree,Disagree,Not Sure,Disagree,Not Sure,Agree,Disagree,Strongly Disagree,Disagree,finally finding friends that see my potential and helped me work to achieve it,people don't believe that I'm depressed.,Average Value,31.3,83.3,52.8,56.3,50
Female,Statistics,Digital Humanities,Asian,Heterosexual,High school or less,High school or less,Senior,Yes,Hong Kong,No,Yes,Yes,Yes,3.6,3.8,30,30,Often,Sometimes,Always,Often,Sometimes,Not Sure,Agree,Disagree,Not Sure,Not Sure,Strongly Agree,Disagree,Agree,Disagree,Not Sure,Strongly Disagree,Agree,Agree,Agree,Agree,Strongly Disagree,Not Sure,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Joining professional and social organizations, attending events, making an effort to build strong relationships (grabbing meals/coffee, doing other activities with people. ",Comparing myself academically and socially to others on campus (without taking into account our differences). Feeling like I need to perform a certain way because of the way others are.,Average Value,68.8,66.7,80.6,37.5,25
Male,Statistics,Anthropology,Latino/Hispanic,Heterosexual,High school or less,High school or less,Senior,No,,Yes,Yes,Yes,Yes,3.1,2.3,6,10,Sometimes,Rarely,Always,Sometimes,Rarely,Strongly Agree,Strongly Disagree,Not Sure,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Not Sure,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Not Sure,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Not Sure,Agree,Agree,"One factor that has helped my success is my full-ride scholarship. I am a recipient of an outside scholarship for community college students that provides up to $40,000 in support until I graduate. This has allowed me to study more, volunteer in labs, and not have to work.",Not having more Latinos in math/stats courses. Generally classes are full of white and Asian students. This leads to them forming study groups and excluding others that are not like them (it may or may not be intentional). This forces me to work harder than them in order to be around the curve for midterms since I do not have that support that they do with one another. The grading schemes and curves of classes at UCLA hurts those students who cannot form study groups.,High Value,46.9,91.7,38.9,43.8,100
Male,Statistics,,Caucasian/Latino,Heterosexual,Four-year College,High school or less,Senior,No,,No,Yes,No,Yes,2.89,4.59,20,7,Sometimes,Sometimes,Often,Often,Never,Agree,Disagree,Not Sure,Disagree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Not Sure,Agree,Not Sure,Disagree,Strongly Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Not Sure,Disagree,Agree,"I have succeeded this far at UCLA due to good friends that keep me on track to finish this journey off. My family would be a big factor as I am doing this not only for myself but for them as well. Phone calls with my family help remind me that I am here for a reason, which is to graduate and help my family out financially in any and every possible way. ","I would say my bad habits and tendencies inhibited my success at UCLA academically and socially. Procrastination is what I am referring to, we all suffer from it at times but lately it has gotten out of hand. My lack of motivation somedays impedes whether I go to class or not and would then continue the rest of the day. Moreover, the workload that UCLA courses in this major throw at you in such a rapid pace requires a lot of time and energy. In my situation, I have to work through college to afford to come here so after a shift at work, I come home and am already tired from physical labor and a days worth of classes. It's not easy to gather the strength to hit the books right away. ",Average Value,21.9,58.3,41.7,68.8,75
Male,Stats,None,Latino/Hispanic,Heterosexual,Graduate or Professional Degree,Graduate or Professional Degree,Fifth Year,No,,No,Yes,No,Yes,3.55,4,7,10,Never,Rarely,Always,Never,Never,Not Sure,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,My parents have been a great resource for me. They always have my back and encourage me choosing happiness and mental health over all else.,"I felt like I picked a STEM major even though I dont enjoy it a whole lot because my entire life I was encouraged by teachers, family, etc to go in that field. Like society said that was what smart and successful are. Now getting through it feels extremely tiring. ",High Value,37.5,16.7,75,68.8,25
Female,statistics,food studies,Asian,Heterosexual,High school or less,High school or less,Senior,No,,No,Yes,Yes,Yes,3.3,4.18,600,200,Never,Sometimes,Always,Often,Rarely,Strongly Agree,Strongly Disagree,Not Sure,Strongly Agree,Strongly Agree,Strongly Agree,Not Sure,Not Sure,Not Sure,Strongly Agree,Not Sure,Strongly Agree,Not Sure,Disagree,Strongly Disagree,Not Sure,Agree,Agree,Not Sure,Not Sure,Strongly Agree,Not Sure,Not Sure,Not Sure,I think it would have been better if our professors helped those who come from poorer backgrounds. I had a hard time doing lower division courses because many classes had terrible curves and I was competing against students who had seen the materials beforehand. I was learning everything for the first time.,I think meeting friends and working with them helped me a lot. I would learn so much through peer learning.,Average Value,28.1,100,38.9,75,66.7
Male,Statistics,Digital Humanities,Asian,Heterosexual,Graduate or Professional Degree,Four-year College,Senior,Yes,China,No,No,No,Yes,3.7,3.9,NA,3,Sometimes,Sometimes,Always,Rarely,Rarely,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Not Sure,Not Sure,Strongly Agree,Not Sure,Agree,Agree,Not Sure,Disagree,Agree,Not Sure,Agree,Disagree,Agree,Not Sure,"Sex, Family help","Language, Policy to international students ",Average Value,59.4,0,55.6,43.8,50
Male,Statistics,,Calcasian,Heterosexual,Graduate or Professional Degree,Graduate or Professional Degree,Senior,No,,Yes,Yes,No,Yes,3.5,3.9,25,50,Often,Never,Often,Often,Rarely,Agree,Disagree,Strongly Disagree,Disagree,Not Sure,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,"Transfer community (some supportive community) that integrates all people, but with a common interest",Competition and curves at UCLA and preferences in teaching styles at ucla,High Value,40.6,58.3,72.2,68.8,16.7
Female,Statistics,Digital Humanities,Asian,Heterosexual,Graduate or Professional Degree,Graduate or Professional Degree,Senior,No,,No,No,No,Yes,3.7,4.3,20,300,Often,Often,Always,Sometimes,Rarely,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Disagree,Not Sure,Agree,Not Sure,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Friends and family,Time to extracurriculars,NA,71.9,25,44.4,62.5,100
Female,Statistic,,Asian,Heterosexual,Four-year College,Graduate or Professional Degree,Senior,Yes,China,Yes,No,Yes,Yes,3.58,NA,3,3,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,clubs,language and culture,Low Value,50,50,50,50,50
Male,Statistics,Applied Math,Asian,Bisexual,Four-year College,Graduate or Professional Degree,Senior,Yes,China,No,No,No,Yes,3.78,4,20,3,Rarely,Sometimes,Always,Often,Rarely,Disagree,Strongly Agree,Strongly Agree,Not Sure,Disagree,Strongly Disagree,Not Sure,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Disagree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,The motivation to do well when all of my friends are very hard working and energetic about studying and pursuing career life.,The gap between race and nationalities,Low Value,84.4,25,72.2,25,41.7
Female,Statistics,Digital Humanities,Asian,Heterosexual,Graduate or Professional Degree,Graduate or Professional Degree,Senior,No,,No,Yes,No,Yes,3.7,4.3,20,300,Often,Often,Often,Sometimes,Often,Agree,Agree,Strongly Disagree,Not Sure,,Agree,Disagree,Not Sure,Disagree,Disagree,Not Sure,Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Not Sure,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,I think joining the Student Alumni Association and meeting other students who were so supportive of me and from such diverse backgrounds helped me succeed socially and emotionally at UCLA. I think my strong family support and coming from the Silicon Valley and pursuing a STEM major helped me succeed academically at UCLA.,,High Value,78.1,NA,66.7,43.8,41.7
Female,STATISTICS,,ASIAN,Heterosexual,High school or less,High school or less,Junior,Yes,,Yes,No,Yes,Yes,NA,3.84,2,5,Sometimes,Never,Often,Rarely,Often,Agree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Not Sure,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Not Sure,Strongly Agree,Strongly Agree,Strongly Agree,Not Sure,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,,,High Value,34.4,41.7,52.8,31.3,100
Female,Statistics,Undecided,Calcasian,Heterosexual,Graduate or Professional Degree,Graduate or Professional Degree,Freshman,No,,No,Yes,No,Yes,NA,3.87,100,75,Often,Never,Always,Sometimes,Sometimes,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,"Being in a sorority has definitely helped me in all ways. Having a close community of academically driven women has allowed me to believe I can balance my social and academic needs. Also, my roommates have been very supportive and easy to talk to about any college worries.","The campus is very spread out and populated. I need to leave ~30 minutes to get to each class, 15 minutes to get to the library, and 15 minutes just to get food from a grab and go. All of this definitely adds up and causes me to lose a tremendous amount of time.",NA,53.1,25,77.8,50,33.3
